locus_tag	ftype	length_bp	gene	EC_number	COG	product
BHOONDMH_00052	CDS	654	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
BHOONDMH_00053	CDS	750	pstB3	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
BHOONDMH_00054	CDS	885	pstA		COG0581	Phosphate transport system permease protein PstA
BHOONDMH_00055	CDS	924				hypothetical protein
BHOONDMH_00056	CDS	873	pstS1		COG0226	Phosphate-binding protein PstS 1
BHOONDMH_00057	CDS	1710	resE	2.7.13.3		Sensor histidine kinase ResE
BHOONDMH_00058	CDS	699	walR_1		COG0745	Transcriptional regulatory protein WalR
BHOONDMH_00059	CDS	720				hypothetical protein
BHOONDMH_00060	CDS	420	nrdR		COG1327	Transcriptional repressor NrdR
BHOONDMH_00061	CDS	264	ylmC		COG1873	putative sporulation protein YlmC
BHOONDMH_00062	CDS	774	sigG		COG1191	RNA polymerase sigma-G factor
BHOONDMH_00063	CDS	708	sigE		COG1191	RNA polymerase sigma-E factor
BHOONDMH_00064	CDS	795				hypothetical protein
BHOONDMH_00065	CDS	1110	ftsZ		COG0206	Cell division protein FtsZ
BHOONDMH_00066	CDS	1254	ftsA_1		COG0849	Cell division protein FtsA
BHOONDMH_00067	CDS	1275		2.4.1.336	COG1215	Beta-monoglucosyldiacylglycerol synthase
BHOONDMH_00068	CDS	135				hypothetical protein
BHOONDMH_00069	CDS	1053	pilT		COG2805	Twitching mobility protein
BHOONDMH_00070	CDS	777	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
BHOONDMH_00071	CDS	705	sigK			RNA polymerase sigma-28 factor
BHOONDMH_00072	CDS	1671	spoVD_1		COG0768	Stage V sporulation protein D
BHOONDMH_00073	CDS	621	udk_1	2.7.1.48		Uridine kinase
BHOONDMH_00074	CDS	1227				hypothetical protein
BHOONDMH_00075	CDS	657	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
BHOONDMH_00076	CDS	1032	mltG	4.2.2.-		Endolytic murein transglycosylase
BHOONDMH_00077	CDS	1827	typA		COG1217	GTP-binding protein TypA/BipA
BHOONDMH_00078	CDS	1710	rnjA_1	3.1.-.-	COG0595	Ribonuclease J1
BHOONDMH_00079	CDS	453	fur_1		COG0735	Ferric uptake regulation protein
BHOONDMH_00080	CDS	255				hypothetical protein
BHOONDMH_00081	CDS	414	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
BHOONDMH_00082	CDS	252				hypothetical protein
BHOONDMH_00083	CDS	2640	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
BHOONDMH_00084	CDS	1029				hypothetical protein
BHOONDMH_00085	CDS	489				hypothetical protein
BHOONDMH_00086	CDS	429	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
BHOONDMH_00087	CDS	1194	iscS_1	2.8.1.7		Cysteine desulfurase IscS
BHOONDMH_00088	CDS	447	cymR_1			HTH-type transcriptional regulator CymR
BHOONDMH_00089	CDS	1248			COG2256	putative AAA domain-containing protein
BHOONDMH_00090	CDS	768	hisK	3.1.3.15	COG1387	Histidinol-phosphatase
BHOONDMH_00091	CDS	909				hypothetical protein
BHOONDMH_00092	CDS	867				DegV domain-containing protein
BHOONDMH_00093	CDS	585				hypothetical protein
BHOONDMH_00094	CDS	990	arcB	1.5.1.49		Delta(1)-pyrroline-2-carboxylate reductase
BHOONDMH_00095	CDS	1368	alsT_1		COG1115	Amino-acid carrier protein AlsT
BHOONDMH_00096	CDS	1335	alsT_2		COG1115	Amino-acid carrier protein AlsT
BHOONDMH_00097	CDS	654				hypothetical protein
BHOONDMH_00098	CDS	477				hypothetical protein
BHOONDMH_00099	CDS	3762	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
BHOONDMH_00100	CDS	1350	mepA_1		COG0534	Multidrug export protein MepA
BHOONDMH_00101	CDS	2478				hypothetical protein
BHOONDMH_00102	CDS	276				hypothetical protein
BHOONDMH_00103	CDS	1539	menE	6.2.1.26		2-succinylbenzoate--CoA ligase
BHOONDMH_00104	CDS	1011	fabH_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
BHOONDMH_00105	CDS	882				hypothetical protein
BHOONDMH_00106	CDS	1830	lgrA			Linear gramicidin synthase subunit A
BHOONDMH_00107	CDS	513				hypothetical protein
BHOONDMH_00108	CDS	249	dltC_1			D-alanyl carrier protein
BHOONDMH_00109	CDS	1017				hypothetical protein
BHOONDMH_00110	CDS	1185				hypothetical protein
BHOONDMH_00111	CDS	741				hypothetical protein
BHOONDMH_00112	CDS	1002	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
BHOONDMH_00113	CDS	945	arcC2	2.7.2.2		Carbamate kinase 2
BHOONDMH_00114	CDS	1242	glyA	2.1.2.1		Serine hydroxymethyltransferase
BHOONDMH_00115	CDS	771	yjjP_1		COG2966	Inner membrane protein YjjP
BHOONDMH_00116	CDS	489				hypothetical protein
BHOONDMH_00117	CDS	270	csoR_1		COG1937	Copper-sensing transcriptional repressor CsoR
BHOONDMH_00118	CDS	825	ycsE	3.1.3.104		5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE
BHOONDMH_00119	CDS	477				hypothetical protein
BHOONDMH_00120	CDS	4866	nadD_1	2.7.7.18		nicotinate-nucleotide adenylyltransferase
BHOONDMH_00121	CDS	1224	ldh_1	1.1.1.27		L-lactate dehydrogenase
BHOONDMH_00122	CDS	1056				hypothetical protein
BHOONDMH_00123	CDS	462				hypothetical protein
BHOONDMH_00124	CDS	1536	apeA	3.4.11.-	COG1362	putative M18 family aminopeptidase 1
BHOONDMH_00125	CDS	936	corA		COG0598	Cobalt/magnesium transport protein CorA
BHOONDMH_00126	CDS	555	yqgN		COG0212	putative protein YqgN
BHOONDMH_00127	CDS	924	hprK	2.7.11.-		HPr kinase/phosphorylase
BHOONDMH_00128	CDS	189				hypothetical protein
BHOONDMH_00129	CDS	729	ydjZ_1		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
BHOONDMH_00130	CDS	720	ydjZ_2		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
BHOONDMH_00131	CDS	1146				hypothetical protein
BHOONDMH_00132	CDS	999				hypothetical protein
BHOONDMH_00133	CDS	702	fbiD	2.7.7.68		Phosphoenolpyruvate guanylyltransferase
BHOONDMH_00134	CDS	675				hypothetical protein
BHOONDMH_00135	CDS	975		2.8.1.1	COG2897	Thiosulfate sulfurtransferase
BHOONDMH_00136	CDS	975	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
BHOONDMH_00137	CDS	174				hypothetical protein
BHOONDMH_00138	CDS	396				hypothetical protein
BHOONDMH_00139	CDS	1170	fprA1_1	1.6.3.4	COG0426	Flavo-diiron protein FprA1
BHOONDMH_00140	CDS	507	niaX			Niacin transporter NiaX
BHOONDMH_00141	CDS	93				hypothetical protein
BHOONDMH_00142	CDS	291				hypothetical protein
BHOONDMH_00143	CDS	864	rihA	3.2.-.-		Pyrimidine-specific ribonucleoside hydrolase RihA
BHOONDMH_00144	CDS	489	def_1	3.5.1.88		Peptide deformylase
BHOONDMH_00145	CDS	651	ntpD			V-type sodium ATPase subunit D
BHOONDMH_00146	CDS	1386	ntpB			V-type sodium ATPase subunit B
BHOONDMH_00147	CDS	1779	ntpA	7.2.2.1		V-type sodium ATPase catalytic subunit A
BHOONDMH_00148	CDS	318	ntpG			V-type sodium ATPase subunit G
BHOONDMH_00149	CDS	1002	ntpC			V-type sodium ATPase subunit C
BHOONDMH_00150	CDS	600	atpE_1			V-type proton ATPase subunit E
BHOONDMH_00151	CDS	489	ntpK			V-type sodium ATPase subunit K
BHOONDMH_00152	CDS	1959				hypothetical protein
BHOONDMH_00153	CDS	327				hypothetical protein
BHOONDMH_00154	CDS	1680	miaB_1	2.8.4.3		tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
BHOONDMH_00155	CDS	576				hypothetical protein
BHOONDMH_00156	CDS	720				hypothetical protein
BHOONDMH_00157	CDS	1200				hypothetical protein
BHOONDMH_00158	CDS	2547	yloB	7.2.2.10	COG0474	Calcium-transporting ATPase
BHOONDMH_00159	CDS	1644		3.6.1.1		Cobalt-dependent inorganic pyrophosphatase
BHOONDMH_00160	CDS	576				hypothetical protein
BHOONDMH_00161	CDS	792	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
BHOONDMH_00162	CDS	768	flgG_2		COG4786	Flagellar basal-body rod protein FlgG
BHOONDMH_00163	CDS	117				hypothetical protein
BHOONDMH_00164	CDS	558				hypothetical protein
BHOONDMH_00165	CDS	729	sigD		COG1191	RNA polymerase sigma-D factor
BHOONDMH_00166	CDS	660				hypothetical protein
BHOONDMH_00167	CDS	861	ylxH		COG0455	Flagellum site-determining protein YlxH
BHOONDMH_00168	CDS	1227	flhF		COG1419	Flagellar biosynthesis protein FlhF
BHOONDMH_00169	CDS	2067	flhA		COG1298	Flagellar biosynthesis protein FlhA
BHOONDMH_00170	CDS	1830				hypothetical protein
BHOONDMH_00171	CDS	270				hypothetical protein
BHOONDMH_00172	CDS	777	fliP		COG1338	Flagellar biosynthetic protein FliP
BHOONDMH_00173	CDS	408				hypothetical protein
BHOONDMH_00174	CDS	522				hypothetical protein
BHOONDMH_00175	CDS	744	motB_1		COG1360	Motility protein B
BHOONDMH_00176	CDS	813	pomA_1		COG1291	Chemotaxis protein PomA
BHOONDMH_00177	CDS	210				hypothetical protein
BHOONDMH_00178	CDS	1005	flgG_3		COG4786	Flagellar basal-body rod protein FlgG
BHOONDMH_00179	CDS	420				hypothetical protein
BHOONDMH_00180	CDS	822				hypothetical protein
BHOONDMH_00181	CDS	1377				hypothetical protein
BHOONDMH_00182	CDS	438				hypothetical protein
BHOONDMH_00183	CDS	1317	yscN	7.1.2.2		putative ATP synthase YscN
BHOONDMH_00184	CDS	777				hypothetical protein
BHOONDMH_00185	CDS	1014	fliG		COG1536	Flagellar motor switch protein FliG
BHOONDMH_00186	CDS	1581				hypothetical protein
BHOONDMH_00187	CDS	315	fliE			Flagellar hook-basal body complex protein FliE
BHOONDMH_00188	CDS	435	flgC		COG1558	Flagellar basal-body rod protein FlgC
BHOONDMH_00189	CDS	402	flgB		COG1815	Flagellar basal body rod protein FlgB
BHOONDMH_00190	CDS	855	hag_1		COG1344	Flagellin
BHOONDMH_00191	CDS	369				hypothetical protein
BHOONDMH_00192	CDS	1323	argH	4.3.2.1	COG0165	Argininosuccinate lyase
BHOONDMH_00193	CDS	1335	argG	6.3.4.5	COG0137	Argininosuccinate synthase
BHOONDMH_00194	CDS	339				hypothetical protein
BHOONDMH_00195	CDS	345				hypothetical protein
BHOONDMH_00196	CDS	1431	clsA	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
BHOONDMH_00197	CDS	891				hypothetical protein
BHOONDMH_00198	CDS	186				hypothetical protein
BHOONDMH_00199	CDS	828				hypothetical protein
BHOONDMH_00200	CDS	462				hypothetical protein
BHOONDMH_00201	CDS	2187				hypothetical protein
BHOONDMH_00202	CDS	1278				hypothetical protein
BHOONDMH_00203	CDS	531	lpxD_1	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
BHOONDMH_00204	CDS	1239	arnB_1	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
BHOONDMH_00205	CDS	1080				hypothetical protein
BHOONDMH_00206	CDS	1383				hypothetical protein
BHOONDMH_00207	CDS	2127	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
BHOONDMH_00208	CDS	1359				hypothetical protein
BHOONDMH_00209	CDS	1134				hypothetical protein
BHOONDMH_00210	CDS	822	wfgD	2.4.1.305		UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD
BHOONDMH_00211	CDS	1224	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
BHOONDMH_00212	CDS	1386	wbpA_1	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
BHOONDMH_00213	CDS	669	wecA	2.7.8.40		UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase
BHOONDMH_00214	CDS	711	ywqD	2.7.10.2	COG0489	Tyrosine-protein kinase YwqD
BHOONDMH_00215	CDS	774	ywqE	3.1.3.48	COG4464	Tyrosine-protein phosphatase YwqE
BHOONDMH_00216	CDS	678	ywqC		COG3944	putative capsular polysaccharide biosynthesis protein YwqC
BHOONDMH_00217	CDS	963	tagT	2.7.8.-	COG1316	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagT
BHOONDMH_00218	CDS	177				hypothetical protein
BHOONDMH_00219	CDS	174				hypothetical protein
BHOONDMH_00220	CDS	168				hypothetical protein
BHOONDMH_00221	CDS	849	yfmS_1		COG0840	Putative sensory transducer protein YfmS
BHOONDMH_00222	CDS	822	hag_2		COG1344	Flagellin
BHOONDMH_00223	CDS	480				hypothetical protein
BHOONDMH_00224	CDS	1020	pseG	3.6.1.57	COG3980	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase
BHOONDMH_00225	CDS	501				hypothetical protein
BHOONDMH_00226	CDS	135				hypothetical protein
BHOONDMH_00227	CDS	261				hypothetical protein
BHOONDMH_00228	CDS	168				hypothetical protein
BHOONDMH_00229	CDS	1050	pseI	2.5.1.97	COG2089	Pseudaminic acid synthase
BHOONDMH_00230	CDS	132				hypothetical protein
BHOONDMH_00231	CDS	450				hypothetical protein
BHOONDMH_00232	CDS	735	kdsB	2.7.7.38		8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase
BHOONDMH_00233	CDS	1005	pseB	4.2.1.115	COG1086	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
BHOONDMH_00234	CDS	1242				hypothetical protein
BHOONDMH_00235	CDS	321				hypothetical protein
BHOONDMH_00236	CDS	2832	COQ3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
BHOONDMH_00237	CDS	363				hypothetical protein
BHOONDMH_00238	CDS	2109				hypothetical protein
BHOONDMH_00239	CDS	825	hag_3		COG1344	Flagellin
BHOONDMH_00240	CDS	831	hag_4		COG1344	Flagellin
BHOONDMH_00241	CDS	342				hypothetical protein
BHOONDMH_00242	CDS	2439				hypothetical protein
BHOONDMH_00243	CDS	387	fliS		COG1516	Flagellar secretion chaperone FliS
BHOONDMH_00244	CDS	300				hypothetical protein
BHOONDMH_00245	CDS	357				hypothetical protein
BHOONDMH_00246	CDS	219	csrA		COG1551	Translational regulator CsrA
BHOONDMH_00247	CDS	432	fliW		COG1699	Flagellar assembly factor FliW
BHOONDMH_00248	CDS	1158				hypothetical protein
BHOONDMH_00249	CDS	1893				hypothetical protein
BHOONDMH_00250	CDS	405				hypothetical protein
BHOONDMH_00251	CDS	282				hypothetical protein
BHOONDMH_00252	CDS	1161				hypothetical protein
BHOONDMH_00253	CDS	996	fliM		COG1868	Flagellar motor switch protein FliM
BHOONDMH_00254	CDS	396	cheW_1		COG0835	Chemotaxis protein CheW
BHOONDMH_00255	CDS	360	cheY		COG0784	Chemotaxis protein CheY
BHOONDMH_00256	CDS	600	cheC	3.-.-.-	COG1776	CheY-P phosphatase CheC
BHOONDMH_00257	CDS	2076	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
BHOONDMH_00258	CDS	771	cheR	2.1.1.80		Chemotaxis protein methyltransferase
BHOONDMH_00259	CDS	1065	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
BHOONDMH_00260	CDS	489	cheD	3.5.1.44	COG1871	Chemoreceptor glutamine deamidase CheD
BHOONDMH_00261	CDS	447	cheW_2		COG0835	Chemotaxis protein CheW
BHOONDMH_00262	CDS	2034				hypothetical protein
BHOONDMH_00263	CDS	1956	gamP		COG2190	Putative PTS system glucosamine-specific EIICBA component
BHOONDMH_00264	CDS	828	sacY		COG3711	Levansucrase and sucrase synthesis operon antiterminator
BHOONDMH_00265	CDS	834	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
BHOONDMH_00266	CDS	642				hypothetical protein
BHOONDMH_00267	CDS	402				hypothetical protein
BHOONDMH_00268	CDS	108				hypothetical protein
BHOONDMH_00269	CDS	3579		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
BHOONDMH_00270	CDS	1065	murG	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
BHOONDMH_00271	CDS	165				hypothetical protein
BHOONDMH_00272	CDS	2109	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
BHOONDMH_00273	CDS	1782	recJ_1	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
BHOONDMH_00274	CDS	819	nfo	3.1.21.2		endonuclease 4
BHOONDMH_00275	CDS	1404	resA_1			Thiol-disulfide oxidoreductase ResA
BHOONDMH_00276	CDS	1272	uvsE	3.-.-.-		UV DNA damage endonuclease
BHOONDMH_00277	CDS	1218		3.4.24.-	COG0612	putative zinc protease
BHOONDMH_00278	CDS	411				hypothetical protein
BHOONDMH_00279	CDS	552	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
BHOONDMH_00280	CDS	564	ygcP		COG1954	putative protein YgcP
BHOONDMH_00281	CDS	2871	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
BHOONDMH_00282	CDS	1956	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
BHOONDMH_00283	CDS	378				hypothetical protein
BHOONDMH_00284	CDS	1173				hypothetical protein
BHOONDMH_00285	CDS	351				hypothetical protein
BHOONDMH_00286	CDS	243				hypothetical protein
BHOONDMH_00287	CDS	894				hypothetical protein
BHOONDMH_00288	CDS	1290				hypothetical protein
BHOONDMH_00289	CDS	981	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
BHOONDMH_00290	CDS	417			COG0716	Flavodoxin
BHOONDMH_00291	CDS	1422	mepA_2		COG0534	Multidrug export protein MepA
BHOONDMH_00292	CDS	2067	rhaR_1			HTH-type transcriptional activator RhaR
BHOONDMH_00293	CDS	1038	mccF			Microcin C7 self-immunity protein MccF
BHOONDMH_00294	CDS	1497	glpK	2.7.1.30	COG0554	Glycerol kinase
BHOONDMH_00295	CDS	705	glpF		COG0580	Glycerol uptake facilitator protein
BHOONDMH_00296	CDS	321				hypothetical protein
BHOONDMH_00297	CDS	687				hypothetical protein
BHOONDMH_00298	CDS	1077				hypothetical protein
BHOONDMH_00299	CDS	897	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BHOONDMH_00300	CDS	381	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
BHOONDMH_00301	CDS	516				hypothetical protein
BHOONDMH_00302	CDS	1713	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
BHOONDMH_00303	CDS	1719				hypothetical protein
BHOONDMH_00304	CDS	618				hypothetical protein
BHOONDMH_00305	CDS	282	yoaH_1		COG0840	Putative methyl-accepting chemotaxis protein YoaH
BHOONDMH_00306	CDS	222				hypothetical protein
BHOONDMH_00307	CDS	156				hypothetical protein
BHOONDMH_00308	CDS	144				hypothetical protein
BHOONDMH_00309	CDS	1233		3.4.11.-		Aminopeptidase 2
BHOONDMH_00310	CDS	1146	gerAC_1			Spore germination protein A3
BHOONDMH_00311	CDS	1134				hypothetical protein
BHOONDMH_00312	CDS	1488	gerBA_1			Spore germination protein B1
BHOONDMH_00313	CDS	210				hypothetical protein
BHOONDMH_00314	CDS	582	pdxT	4.3.3.6		Pyridoxal 5'-phosphate synthase subunit PdxT
BHOONDMH_00315	CDS	873	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
BHOONDMH_00316	CDS	732				hypothetical protein
BHOONDMH_00317	CDS	1575	cshA	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshA
BHOONDMH_00318	CDS	168				hypothetical protein
BHOONDMH_00319	CDS	372				hypothetical protein
BHOONDMH_00320	CDS	1695				hypothetical protein
BHOONDMH_00321	CDS	411				hypothetical protein
BHOONDMH_00322	CDS	642				hypothetical protein
BHOONDMH_00323	CDS	477				hypothetical protein
BHOONDMH_00324	CDS	918	glsA	3.5.1.2	COG2066	Glutaminase
BHOONDMH_00325	CDS	1050				hypothetical protein
BHOONDMH_00326	CDS	2061	mcpB_1		COG0840	Methyl-accepting chemotaxis protein McpB
BHOONDMH_00327	CDS	801				hypothetical protein
BHOONDMH_00328	CDS	1029	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
BHOONDMH_00329	CDS	2292	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
BHOONDMH_00330	CDS	1176	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
BHOONDMH_00331	CDS	1131				hypothetical protein
BHOONDMH_00332	CDS	813				hypothetical protein
BHOONDMH_00333	CDS	1050	dinB	2.7.7.7	COG0389	DNA polymerase IV
BHOONDMH_00334	CDS	483	ycdZ			Inner membrane protein YcdZ
BHOONDMH_00335	CDS	1236	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
BHOONDMH_00336	CDS	1317	preT	1.3.1.1	COG0493	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
BHOONDMH_00337	CDS	549	pyrR_1		COG2065	Bifunctional protein PyrR
BHOONDMH_00338	CDS	1056				hypothetical protein
BHOONDMH_00339	CDS	420				hypothetical protein
BHOONDMH_00340	CDS	2259	uvrA_1			UvrABC system protein A
BHOONDMH_00341	CDS	522	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
BHOONDMH_00342	CDS	399				hypothetical protein
BHOONDMH_00343	CDS	1713	yoaH_2		COG0840	Putative methyl-accepting chemotaxis protein YoaH
BHOONDMH_00344	CDS	438	nudC_1	3.6.1.22		NADH pyrophosphatase
BHOONDMH_00345	CDS	381				hypothetical protein
BHOONDMH_00346	CDS	468	fur_2		COG0735	Ferric uptake regulation protein
BHOONDMH_00347	CDS	2010				hypothetical protein
BHOONDMH_00348	CDS	2220				hypothetical protein
BHOONDMH_00349	CDS	735	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase 1
BHOONDMH_00350	CDS	1143	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
BHOONDMH_00351	CDS	873	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
BHOONDMH_00352	CDS	735	nagR		COG2188	HTH-type transcriptional repressor NagR
BHOONDMH_00353	CDS	858	glcT		COG3711	PtsGHI operon antiterminator
BHOONDMH_00354	CDS	480	crr_1		COG2190	PTS system glucose-specific EIIA component
BHOONDMH_00355	CDS	1443	nagE		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
BHOONDMH_00356	CDS	1371	mepA_3			Multidrug export protein MepA
BHOONDMH_00357	CDS	921				hypothetical protein
BHOONDMH_00358	CDS	720	cysA_1	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
BHOONDMH_00359	CDS	603				hypothetical protein
BHOONDMH_00360	CDS	483	fur_3		COG0735	Ferric uptake regulation protein
BHOONDMH_00361	CDS	1395	mepA_4			Multidrug export protein MepA
